Sep  5, 2018 18:06:14.277739082 CEST|fa:de:bf:39:df:fe|fa:de:bf:39:df:fe|-57|
Sep  5, 2018 18:06:14.347352038 CEST|fa:de:bf:39:df:fe|fa:de:bf:39:df:fe|-62|
Sep  5, 2018 18:06:14.419257243 CEST|9a:9f:ff:07:d6:d6|9a:9f:ff:07:d6:d6|-91|
Sep  5, 2018 18:06:14.611878692 CEST|Cisco_81:b4:f9|00:0f:8f:81:b4:f9|-89|DIS_371466_RTI_FYFARATR
Sep  5, 2018 18:06:14.792953752 CEST|SamsungE_64:d0:d1|ec:10:7b:64:d0:d1|-67|ISPMobile
Sep  5, 2018 18:06:14.794119732 CEST|SamsungE_64:d0:d1|ec:10:7b:64:d0:d1|-66|
Sep  5, 2018 18:06:14.813352145 CEST|SamsungE_64:d0:d1|ec:10:7b:64:d0:d1|-67|ISPMobile
Sep  5, 2018 18:06:14.815528397 CEST|SamsungE_64:d0:d1|ec:10:7b:64:d0:d1|-67|
Sep  5, 2018 18:06:14.884172481 CEST|SamsungE_64:d0:d1|ec:10:7b:64:d0:d1|-72|ISPMobile
Sep  5, 2018 18:06:14.886356863 CEST|SamsungE_64:d0:d1|ec:10:7b:64:d0:d1|-73|
Sep  5, 2018 18:06:14.914270786 CEST|SamsungE_64:d0:d1|ec:10:7b:64:d0:d1|-70|ISPMobile
Sep  5, 2018 18:06:15.060111236 CEST|92:21:d9:aa:76:b4|92:21:d9:aa:76:b4|-72|
Sep  5, 2018 18:06:15.081883340 CEST|92:21:d9:aa:76:b4|92:21:d9:aa:76:b4|-75|
Sep  5, 2018 18:06:15.101997016 CEST|HuaweiTe_5a:fe:e4|e0:a3:ac:5a:fe:e4|-71|
Sep  5, 2018 18:06:15.124369385 CEST|HuaweiTe_5a:fe:e4|e0:a3:ac:5a:fe:e4|-75|
Sep  5, 2018 18:06:15.132730433 CEST|92:21:d9:aa:76:b4|92:21:d9:aa:76:b4|-77|
Sep  5, 2018 18:06:15.205642847 CEST|SamsungE_83:c3:a9|a8:9f:ba:83:c3:a9|-94|
Sep  5, 2018 18:06:15.445253509 CEST|c6:4b:0b:59:fc:43|c6:4b:0b:59:fc:43|-52|
Sep  5, 2018 18:06:15.465386127 CEST|c6:4b:0b:59:fc:43|c6:4b:0b:59:fc:43|-51|
Sep  5, 2018 18:06:15.698118294 CEST|de:ab:26:75:ff:79|de:ab:26:75:ff:79|-89|
Sep  5, 2018 18:06:16.349627500 CEST|fa:3f:31:ac:b1:1b|fa:3f:31:ac:b1:1b|-83|
Sep  5, 2018 18:06:16.716049986 CEST|a2:4b:cf:d1:75:a6|a2:4b:cf:d1:75:a6|-65|
Sep  5, 2018 18:06:16.735324779 CEST|a2:4b:cf:d1:75:a6|a2:4b:cf:d1:75:a6|-65|
Sep  5, 2018 18:06:16.762634237 CEST|06:94:ab:56:02:b6|06:94:ab:56:02:b6|-70|
Sep  5, 2018 18:06:16.774014564 CEST|22:4c:56:6c:4f:c3|22:4c:56:6c:4f:c3|-85|
Sep  5, 2018 18:06:16.783327216 CEST|06:94:ab:56:02:b6|06:94:ab:56:02:b6|-68|
Sep  5, 2018 18:06:17.087175499 CEST|Google_01:85:98|da:a1:19:01:85:98|-75|Telecom-66857315
Sep  5, 2018 18:06:17.087554931 CEST|Google_01:85:98|da:a1:19:01:85:98|-75|
Sep  5, 2018 18:06:17.106820150 CEST|Google_01:85:98|da:a1:19:01:85:98|-75|Telecom-66857315
Sep  5, 2018 18:06:17.108907790 CEST|Google_01:85:98|da:a1:19:01:85:98|-73|
Sep  5, 2018 18:06:17.134399720 CEST|Google_01:85:98|da:a1:19:01:85:98|-70|Telecom-66857315
Sep  5, 2018 18:06:17.134778092 CEST|Google_01:85:98|da:a1:19:01:85:98|-74|
Sep  5, 2018 18:06:17.180063481 CEST|Google_01:85:98|da:a1:19:01:85:98|-78|Telecom-66857315
Sep  5, 2018 18:06:17.366633353 CEST|SamsungE_90:5a:60|30:07:4d:90:5a:60|-88|
Sep  5, 2018 18:06:17.406026267 CEST|SamsungE_90:5a:60|30:07:4d:90:5a:60|-85|
Sep  5, 2018 18:06:17.455315862 CEST|SamsungE_90:5a:60|30:07:4d:90:5a:60|-88|
